ondevice,title,authors,#kobo_percent_read,#kobo_last_read,timestamp,languages,series,size,rating,tags,publisher,pubdate,last_modified,id,formats,path,#kobo_reading_location,#kobo_time_spent_reading,#kobo_rest_of_book_estimate
,Un Mundo sin Fin,Ken Follett,,,2013-04-01 21:20:18+00:00,spa,Kingsbridge,3755061,,Novela,,2008-10-10 16:00:00+00:00,2026-04-15 18:36:48+00:00,3,EPUB | MOBI,Ken Follett/Un Mundo sin Fin (3),,,
,Los Pilares de la Tierra,Ken Follett,,,2013-04-01 21:20:33+00:00,spa,Kingsbridge,2019605,,Novela Histórica,,1988-12-31 23:00:00+00:00,2026-04-15 18:36:56+00:00,4,EPUB | MOBI,Ken Follett/Los Pilares de la Tierra (4),,,
,Las luces de septiembre,Carlos Ruiz Zafón,100,2021-05-13 00:00:00+00:00,2013-04-01 21:21:05+00:00,spa,Trilogia de la Boira,354365,8,,,1994-12-31 16:00:00+00:00,2026-04-15 18:37:38+00:00,5,EPUB | MOBI,Carlos Ruiz Zafon/Las luces de septiembre (5),,,
,El prisionero del cielo,Carlos Ruiz Zafón,,,2013-04-01 21:22:33+00:00,spa,El cementeri dels llibres oblidats,734746,,,Planeta,2013-04-01 21:22:33+00:00,2026-04-15 18:38:23+00:00,6,EPUB | MOBI,Carlos Ruiz Zafon/El prisionero del cielo (6),,,
,100 preguntas básicas sobre la ciencia,Isaac Asimov,100,2013-09-06 00:00:00+00:00,2013-04-01 21:27:24+00:00,spa,,391427,8,divulgación científica,,1997-10-31 16:00:00+00:00,2026-04-15 18:39:04+00:00,7,EPUB | MOBI,Isaac Asimov/100 preguntas basicas sobre la ciencia (7),,,
,"Yo, robot",Isaac Asimov,,,2013-04-01 21:27:43+00:00,spa,,402011,,,,1949-12-31 16:00:00+00:00,2026-04-15 15:22:58+00:00,8,EPUB | MOBI,"Isaac Asimov/Yo, robot (8)",,,
,El elfo oscuro,R. A. Salvatore,100,2013-04-27 00:00:00+00:00,2013-04-01 21:37:02+00:00,spa,The Legend of Drizzt,3233583,8,Fantasia,,2000-01-31 23:00:00+00:00,2026-04-15 18:42:35+00:00,9,EPUB | MOBI,R. A. Salvatore/El elfo oscuro (9),,,
,El caballero errante,George R. R. Martin,100,2013-03-18 00:00:00+00:00,2013-04-27 17:27:57+00:00,spa,The Tales of Dunk and Egg,374907,10,Fantasia,,2013-04-27 17:27:57+00:00,2026-04-15 18:43:41+00:00,12,EPUB | MOBI,George R. R. Martin/El caballero errante (12),,,
,La espada leal,George R. R. Martin,100,2013-03-27 00:00:00+00:00,2013-04-27 17:27:58+00:00,spa,The Tales of Dunk and Egg,425875,10,Fantasia,Random House Mondadori,2011-05-31 22:00:00+00:00,2026-04-15 18:44:26+00:00,13,EPUB | MOBI,George R. R. Martin/La espada leal (13),,,
,El Legado,R. A. Salvatore,100,2013-07-01 00:00:00+00:00,2013-04-27 17:33:51+00:00,spa,Legacy of the Drow,576243,8,Fantasia,,1992-08-31 16:00:00+00:00,2026-04-15 18:46:36+00:00,15,EPUB | MOBI,R. A. Salvatore/El Legado (15),,,
,Noche sin estrellas,R. A. Salvatore,100,2013-07-15 00:00:00+00:00,2013-04-27 17:34:02+00:00,spa,Legacy of the Drow,542383,8,Fantasia,,1993-09-30 22:00:00+00:00,2026-04-15 18:47:03+00:00,16,EPUB | MOBI,R. A. Salvatore/Noche sin estrellas (16),,,
