kernel,window_size,degree,tap_offset,tap_weight
savgol,35,5,-17,0.03564003564
savgol,35,5,-16,0.004455004455
savgol,35,5,-15,-0.015768015768
savgol,35,5,-14,-0.02673002673
savgol,35,5,-13,-0.030022288087
savgol,35,5,-12,-0.027126317449
savgol,35,5,-11,-0.019413890382
savgol,35,5,-10,-0.008147040405
savgol,35,5,-9,0.005521941006
savgol,35,5,-8,0.020550504421
savgol,35,5,-7,0.036005842457
savgol,35,5,-6,0.051064889775
savgol,35,5,-5,0.065014323079
savgol,35,5,-4,0.077250561122
savgol,35,5,-3,0.087279764699
savgol,35,5,-2,0.094717836653
savgol,35,5,-1,0.099290421871
savgol,35,5,0,0.100832907285
savgol,35,5,1,0.099290421871
savgol,35,5,2,0.094717836653
savgol,35,5,3,0.087279764699
savgol,35,5,4,0.077250561122
savgol,35,5,5,0.065014323079
savgol,35,5,6,0.051064889775
savgol,35,5,7,0.036005842457
savgol,35,5,8,0.020550504421
savgol,35,5,9,0.005521941006
savgol,35,5,10,-0.008147040405
savgol,35,5,11,-0.019413890382
savgol,35,5,12,-0.027126317449
savgol,35,5,13,-0.030022288087
savgol,35,5,14,-0.02673002673
savgol,35,5,15,-0.015768015768
savgol,35,5,16,0.004455004455
savgol,35,5,17,0.03564003564
